epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.2947,0,103.059,0,0,0,0,0,0,inf,0,0.000661333,0.000661333,0.000661333
2,43.9677,0,0.07368,0,0,0,0,0,0,0,0,0.00131485,0.00131485,0.00131485
3,65.5435,0,0,0,0,0,0,0,0,0,0,0.00195517,0.00195517,0.00195517
4,87.0991,0,0,0,0,0,0,0,0,0,0,0.0019406,0.0019406,0.0019406
5,108.649,0,0,0,0,0,0,0,0,0,0,0.0019208,0.0019208,0.0019208
6,130.163,0,0,0,0,0,0,0,0,0,0,0.001901,0.001901,0.001901
7,151.707,0,0,0,0,0,0,0,0,nan,0,0.0018812,0.0018812,0.0018812
8,173.237,0,2e-05,0,0,0,0,0,0,0,0,0.0018614,0.0018614,0.0018614
9,194.795,0,0,0,0,0,0,0,0,0,0,0.0018416,0.0018416,0.0018416
10,216.344,0,4e-05,0,0,0,0,0,0,0,0,0.0018218,0.0018218,0.0018218
11,237.869,0,0,0,0,0,0,0,0,0,0,0.001802,0.001802,0.001802
12,259.378,0,3e-05,0,0,0,0,0,0,0,0,0.0017822,0.0017822,0.0017822
13,280.887,0,0,0,0,0,0,0,0,0,0,0.0017624,0.0017624,0.0017624
14,302.37,0,0,0,0,0,0,0,0,0,0,0.0017426,0.0017426,0.0017426
